model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_rmse_random,medium,DEFL,6,h8q,21.1545982264256,80
paper,medium,DEFL,6,,20.3827390873314,80
mango_mdd,medium,DEFL,7,,20.61839996825744,80
mango_rmse,medium,DEFL,7,h1q,20.876672080263926,80
mango_rmse,medium,DEFL,7,h2q,20.922675835998813,80
mango_rmse,medium,DEFL,7,h4q,20.961467021653906,80
mango_rmse,medium,DEFL,7,h8q,21.20168280568649,80
mango_rmse_random,medium,DEFL,7,h1q,20.990431377064763,80
mango_rmse_random,medium,DEFL,7,h2q,20.907367235739773,80
mango_rmse_random,medium,DEFL,7,h4q,21.11153291635039,80
mango_rmse_random,medium,DEFL,7,h8q,21.35691091462961,80
paper,medium,DEFL,7,,20.461173982774127,80
mango_mdd,medium,DEFL,8,,20.75726498845178,80
mango_rmse,medium,DEFL,8,h1q,21.02194674836011,80
mango_rmse,medium,DEFL,8,h2q,21.05642500827716,80
mango_rmse,medium,DEFL,8,h4q,21.10650495268775,80
mango_rmse,medium,DEFL,8,h8q,21.3786297377388,80
mango_rmse_random,medium,DEFL,8,h1q,21.17066305419864,80
mango_rmse_random,medium,DEFL,8,h2q,21.07316860279156,80
mango_rmse_random,medium,DEFL,8,h4q,21.300002942216864,80
mango_rmse_random,medium,DEFL,8,h8q,21.576852093221795,80
paper,medium,DEFL,8,,20.5593748269395,80
mango_mdd,medium,FFR,1,,0.40811687696339605,80
mango_rmse,medium,FFR,1,h1q,0.4223218401284382,80
mango_rmse,medium,FFR,1,h2q,0.4104682685931851,80
mango_rmse,medium,FFR,1,h4q,0.4273320903082029,80
mango_rmse,medium,FFR,1,h8q,0.4375506011944678,80
mango_rmse_random,medium,FFR,1,h1q,0.4219268914002492,80
mango_rmse_random,medium,FFR,1,h2q,0.3896418084927551,80
mango_rmse_random,medium,FFR,1,h4q,0.4257067516610223,80
mango_rmse_random,medium,FFR,1,h8q,0.4313295956872355,80
paper,medium,FFR,1,,0.386216414588759,80
mango_mdd,medium,FFR,2,,0.7807183943984131,80
mango_rmse,medium,FFR,2,h1q,0.8075101763549919,80
mango_rmse,medium,FFR,2,h2q,0.8158541006025836,80
mango_rmse,medium,FFR,2,h4q,0.8261540717958271,80
mango_rmse,medium,FFR,2,h8q,0.8396522599152142,80
mango_rmse_random,medium,FFR,2,h1q,0.8105114837701961,80
mango_rmse_random,medium,FFR,2,h2q,0.783858353612977,80
mango_rmse_random,medium,FFR,2,h4q,0.8082624125161336,80
mango_rmse_random,medium,FFR,2,h8q,0.8212243892516207,80
paper,medium,FFR,2,,0.7369271893055616,80
mango_mdd,medium,FFR,3,,1.139112339821133,80
mango_rmse,medium,FFR,3,h1q,1.1223069692699523,80
mango_rmse,medium,FFR,3,h2q,1.1803621333699985,80
mango_rmse,medium,FFR,3,h4q,1.171015647200219,80
mango_rmse,medium,FFR,3,h8q,1.1643120322084077,80
mango_rmse_random,medium,FFR,3,h1q,1.1627034862340464,80
mango_rmse_random,medium,FFR,3,h2q,1.1479096037411716,80
mango_rmse_random,medium,FFR,3,h4q,1.148891095316057,80
mango_rmse_random,medium,FFR,3,h8q,1.1464452016718887,80
paper,medium,FFR,3,,1.0527304834264868,80
mango_mdd,medium,FFR,4,,1.460763450037551,80
mango_rmse,medium,FFR,4,h1q,1.4081700983752377,80
mango_rmse,medium,FFR,4,h2q,1.5052035348189,80
mango_rmse,medium,FFR,4,h4q,1.513300031260025,80
mango_rmse,medium,FFR,4,h8q,1.4801064381187161,80
mango_rmse_random,medium,FFR,4,h1q,1.4938720447091165,80
mango_rmse_random,medium,FFR,4,h2q,1.4742407995696527,80
mango_rmse_random,medium,FFR,4,h4q,1.447562141556657,80
mango_rmse_random,medium,FFR,4,h8q,1.4358658445654027,80
paper,medium,FFR,4,,1.32600560371342,80
mango_mdd,medium,FFR,5,,1.747342113588896,80
mango_rmse,medium,FFR,5,h1q,1.6909400325507284,80
mango_rmse,medium,FFR,5,h2q,1.8055502110709978,80
mango_rmse,medium,FFR,5,h4q,1.8297907869283865,80
mango_rmse,medium,FFR,5,h8q,1.794233037015944,80
mango_rmse_random,medium,FFR,5,h1q,1.8184367250166378,80
mango_rmse_random,medium,FFR,5,h2q,1.765288663307221,80
mango_rmse_random,medium,FFR,5,h4q,1.7306107770975807,80
mango_rmse_random,medium,FFR,5,h8q,1.6858390011550577,80
paper,medium,FFR,5,,1.568998462135831,80
mango_mdd,medium,FFR,6,,2.0181808979509954,80
mango_rmse,medium,FFR,6,h1q,1.9454294238057903,80
mango_rmse,medium,FFR,6,h2q,2.0799248368389684,80
mango_rmse,medium,FFR,6,h4q,2.103644652969015,80
mango_rmse,medium,FFR,6,h8q,2.074311828112232,80
mango_rmse_random,medium,FFR,6,h1q,2.089071234616773,80
mango_rmse_random,medium,FFR,6,h2q,2.0228561750806504,80
mango_rmse_random,medium,FFR,6,h4q,1.9703800810488612,80
mango_rmse_random,medium,FFR,6,h8q,1.9254470984533503,80
paper,medium,FFR,6,,1.8043446318621341,80
mango_mdd,medium,FFR,7,,2.259438073408152,80
mango_rmse,medium,FFR,7,h1q,2.161592983638951,80
mango_rmse,medium,FFR,7,h2q,2.3081590360392057,80
mango_rmse,medium,FFR,7,h4q,2.333634477570753,80
mango_rmse,medium,FFR,7,h8q,2.321997650157475,80
mango_rmse_random,medium,FFR,7,h1q,2.3096311576776265,80
mango_rmse_random,medium,FFR,7,h2q,2.2253023911930225,80
mango_rmse_random,medium,FFR,7,h4q,2.1660145166783935,80
mango_rmse_random,medium,FFR,7,h8q,2.1442876019495585,80
paper,medium,FFR,7,,2.0121591741907157,80
mango_mdd,medium,FFR,8,,2.457209690060529,80
mango_rmse,medium,FFR,8,h1q,2.3441705721037134,80
mango_rmse,medium,FFR,8,h2q,2.4986450633898136,80
mango_rmse,medium,FFR,8,h4q,2.5290200890935974,80
mango_rmse,medium,FFR,8,h8q,2.536569023287953,80
mango_rmse_random,medium,FFR,8,h1q,2.484448160741355,80
mango_rmse_random,medium,FFR,8,h2q,2.399904213404219,80
mango_rmse_random,medium,FFR,8,h4q,2.337125659865964,80
mango_rmse_random,medium,FFR,8,h8q,2.3488564011054627,80
paper,medium,FFR,8,,2.1910608831485474,80
mango_mdd,medium,GDP,1,,22.941546520145202,80
mango_rmse,medium,GDP,1,h1q,22.954916764338012,80
mango_rmse,medium,GDP,1,h2q,22.93787797046146,80
mango_rmse,medium,GDP,1,h4q,22.956743208595917,80
mango_rmse,medium,GDP,1,h8q,22.950864786831527,80
mango_rmse_random,medium,GDP,1,h1q,22.929962624047302,80
mango_rmse_random,medium,GDP,1,h2q,22.919632292462502,80
mango_rmse_random,medium,GDP,1,h4q,22.982036822002932,80
mango_rmse_random,medium,GDP,1,h8q,23.020688882774596,80
paper,medium,GDP,1,,22.963201672886147,80
mango_mdd,medium,GDP,2,,22.604670571138637,80
mango_rmse,medium,GDP,2,h1q,22.61730543230427,80
mango_rmse,medium,GDP,2,h2q,22.617682044805445,80
mango_rmse,medium,GDP,2,h4q,22.64722792959284,80
mango_rmse,medium,GDP,2,h8q,22.644069993303134,80
mango_rmse_random,medium,GDP,2,h1q,22.604135086507238,80
mango_rmse_random,medium,GDP,2,h2q,22.581044797869346,80
mango_rmse_random,medium,GDP,2,h4q,22.687273995051648,80
mango_rmse_random,medium,GDP,2,h8q,22.784485781248865,80
paper,medium,GDP,2,,22.64913650631384,80
mango_mdd,medium,GDP,3,,22.25210873928541,80
mango_rmse,medium,GDP,3,h1q,22.26332254391115,80
mango_rmse,medium,GDP,3,h2q,22.282395350474072,80
mango_rmse,medium,GDP,3,h4q,22.341940665371048,80
mango_rmse,medium,GDP,3,h8q,22.344670140062945,80
mango_rmse_random,medium,GDP,3,h1q,22.287705460229475,80
mango_rmse_random,medium,GDP,3,h2q,22.26661989976542,80
mango_rmse_random,medium,GDP,3,h4q,22.396388085381442,80
mango_rmse_random,medium,GDP,3,h8q,22.550719815866184,80
paper,medium,GDP,3,,22.32739974618814,80
mango_mdd,medium,GDP,4,,21.88338727437211,80
mango_rmse,medium,GDP,4,h1q,21.89603942903165,80
mango_rmse,medium,GDP,4,h2q,21.921692057915546,80
mango_rmse,medium,GDP,4,h4q,22.01287157569681,80
mango_rmse,medium,GDP,4,h8q,22.029123668804043,80
mango_rmse_random,medium,GDP,4,h1q,21.94886710926415,80
mango_rmse_random,medium,GDP,4,h2q,21.916943147464163,80
mango_rmse_random,medium,GDP,4,h4q,22.07850298621607,80
mango_rmse_random,medium,GDP,4,h8q,22.286577139226665,80
paper,medium,GDP,4,,21.972587716027586,80
mango_mdd,medium,GDP,5,,21.540738883031917,80
mango_rmse,medium,GDP,5,h1q,21.552654148576263,80
mango_rmse,medium,GDP,5,h2q,21.57897526440482,80
mango_rmse,medium,GDP,5,h4q,21.704051280319362,80
mango_rmse,medium,GDP,5,h8q,21.743463640783276,80
mango_rmse_random,medium,GDP,5,h1q,21.63426419873246,80
mango_rmse_random,medium,GDP,5,h2q,21.591672192062177,80
mango_rmse_random,medium,GDP,5,h4q,21.777141148973563,80
mango_rmse_random,medium,GDP,5,h8q,22.03640544882084,80
paper,medium,GDP,5,,21.629288893485306,80
mango_mdd,medium,GDP,6,,21.236598919834464,80
mango_rmse,medium,GDP,6,h1q,21.259850007118686,80
mango_rmse,medium,GDP,6,h2q,21.273783680897843,80
mango_rmse,medium,GDP,6,h4q,21.4440188798124,80
mango_rmse,medium,GDP,6,h8q,21.486707581365998,80
mango_rmse_random,medium,GDP,6,h1q,21.362625997546047,80
mango_rmse_random,medium,GDP,6,h2q,21.30190419514758,80
mango_rmse_random,medium,GDP,6,h4q,21.514730419573713,80
mango_rmse_random,medium,GDP,6,h8q,21.822818932069293,80
paper,medium,GDP,6,,21.32621556635523,80
mango_mdd,medium,GDP,7,,20.946594155495983,80
mango_rmse,medium,GDP,7,h1q,20.988926149370645,80
mango_rmse,medium,GDP,7,h2q,20.980095491056744,80
mango_rmse,medium,GDP,7,h4q,21.19442143501728,80
mango_rmse,medium,GDP,7,h8q,21.236694151594094,80
mango_rmse_random,medium,GDP,7,h1q,21.11351884439759,80
mango_rmse_random,medium,GDP,7,h2q,21.024581777499293,80
mango_rmse_random,medium,GDP,7,h4q,21.26943983013119,80
mango_rmse_random,medium,GDP,7,h8q,21.615687387072157,80
paper,medium,GDP,7,,21.030535994742383,80
mango_mdd,medium,GDP,8,,20.68444860855606,80
mango_rmse,medium,GDP,8,h1q,20.743683534990303,80
mango_rmse,medium,GDP,8,h2q,20.709273720913764,80
mango_rmse,medium,GDP,8,h4q,20.97055747731412,80
mango_rmse,medium,GDP,8,h8q,21.001548581857563,80
mango_rmse_random,medium,GDP,8,h1q,20.875481263294333,80
mango_rmse_random,medium,GDP,8,h2q,20.773319972925442,80
mango_rmse_random,medium,GDP,8,h4q,21.045243843827738,80
mango_rmse_random,medium,GDP,8,h8q,21.417110648613594,80
paper,medium,GDP,8,,20.745808033181294,80
