forecast_origin,group,strategy,lambda1_1,lambda2_1,lambda3_1,lambda4_1,lambda5_1
2000-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2000-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2000-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2000-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2000-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2000-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2000-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2000-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2000-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2001-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2001-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2001-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2001-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2001-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2001-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2001-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2001-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2001-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2001-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2001-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2001-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2002-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2002-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2002-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2002-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2002-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2002-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2002-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2002-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2002-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2002-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2002-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2002-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2003-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2003-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2003-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2003-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2003-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2003-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2003-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2003-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2003-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2003-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2003-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2003-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2004-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2004-02-29,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2004-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2004-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2004-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2004-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2004-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2004-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2004-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2004-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2004-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2004-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2005-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2005-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2005-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2005-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2005-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2005-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2005-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2005-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2005-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2005-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2005-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2005-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2006-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2006-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2006-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2006-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2006-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2006-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2006-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2006-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2006-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2006-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2006-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2006-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2007-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2007-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2007-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2007-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2007-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2007-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2007-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2007-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2007-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2007-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2007-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2007-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2008-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2008-02-29,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2008-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2008-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2008-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2008-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2008-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2008-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2008-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2008-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2008-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2008-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2009-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2009-02-28,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2009-03-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2009-04-30,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2009-05-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2009-06-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2009-07-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2009-08-31,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2009-09-30,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2009-10-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
2009-11-30,+1 month,paper,0.09,4.3,1.0,2.7,4.3
2009-12-31,+2 months,paper,0.09,4.3,1.0,2.7,4.3
2010-01-31,+0 months,paper,0.09,4.3,1.0,2.7,4.3
