model,model_size,variable,horizon_quarters,optimization_horizon,rmse,n
mango_rmse_random,small,FFR,1,h2q,0.40019988164884573,80
mango_rmse_random,small,FFR,1,h4q,0.4145811364185967,80
mango_rmse_random,small,FFR,1,h8q,0.41444760718537615,80
paper,small,FFR,1,,0.38243950089465323,80
mango_mdd,small,FFR,2,,0.787405461208441,80
mango_rmse,small,FFR,2,h1q,0.7310633190258985,80
mango_rmse,small,FFR,2,h2q,0.6954062284692578,80
mango_rmse,small,FFR,2,h4q,0.7448330876947976,80
mango_rmse,small,FFR,2,h8q,0.7981048133373826,80
mango_rmse_random,small,FFR,2,h1q,0.7698017177392845,80
mango_rmse_random,small,FFR,2,h2q,0.7654795012817968,80
mango_rmse_random,small,FFR,2,h4q,0.8029759624677296,80
mango_rmse_random,small,FFR,2,h8q,0.7956028354672434,80
paper,small,FFR,2,,0.7418260185179759,80
mango_mdd,small,FFR,3,,1.119352121281293,80
mango_rmse,small,FFR,3,h1q,1.0622589801415248,80
mango_rmse,small,FFR,3,h2q,1.0324582905340602,80
mango_rmse,small,FFR,3,h4q,1.0856984340194846,80
mango_rmse,small,FFR,3,h8q,1.1443637217783007,80
mango_rmse_random,small,FFR,3,h1q,1.1056840875177703,80
mango_rmse_random,small,FFR,3,h2q,1.0929214491577492,80
mango_rmse_random,small,FFR,3,h4q,1.1346424852962562,80
mango_rmse_random,small,FFR,3,h8q,1.1242051530980388,80
paper,small,FFR,3,,1.0605979029652735,80
mango_mdd,small,FFR,4,,1.4311630571895568,80
mango_rmse,small,FFR,4,h1q,1.3823695753190628,80
mango_rmse,small,FFR,4,h2q,1.3585549414969744,80
mango_rmse,small,FFR,4,h4q,1.4291479399602414,80
mango_rmse,small,FFR,4,h8q,1.4793127976232188,80
mango_rmse_random,small,FFR,4,h1q,1.4243718785286188,80
mango_rmse_random,small,FFR,4,h2q,1.4064195859638997,80
mango_rmse_random,small,FFR,4,h4q,1.448237095806844,80
mango_rmse_random,small,FFR,4,h8q,1.446352287846096,80
paper,small,FFR,4,,1.3490804116235788,80
mango_mdd,small,FFR,5,,1.727667600560747,80
mango_rmse,small,FFR,5,h1q,1.6902324982611021,80
mango_rmse,small,FFR,5,h2q,1.680468054749276,80
mango_rmse,small,FFR,5,h4q,1.7595181849505734,80
mango_rmse,small,FFR,5,h8q,1.7858511641067156,80
mango_rmse_random,small,FFR,5,h1q,1.7051681893250463,80
mango_rmse_random,small,FFR,5,h2q,1.70319663309915,80
mango_rmse_random,small,FFR,5,h4q,1.7563693945327141,80
mango_rmse_random,small,FFR,5,h8q,1.7554708223388857,80
paper,small,FFR,5,,1.6176887791301888,80
mango_mdd,small,FFR,6,,1.9732469290741343,80
mango_rmse,small,FFR,6,h1q,1.9694374837659685,80
mango_rmse,small,FFR,6,h2q,1.9702793473124152,80
mango_rmse,small,FFR,6,h4q,2.0407272643200134,80
mango_rmse,small,FFR,6,h8q,2.051717344372632,80
mango_rmse_random,small,FFR,6,h1q,1.9476896460039723,80
mango_rmse_random,small,FFR,6,h2q,1.9501512554497489,80
mango_rmse_random,small,FFR,6,h4q,2.014145877037107,80
mango_rmse_random,small,FFR,6,h8q,2.013639234610293,80
paper,small,FFR,6,,1.8627767808218405,80
mango_mdd,small,FFR,7,,2.168022426315413,80
mango_rmse,small,FFR,7,h1q,2.205642446080316,80
mango_rmse,small,FFR,7,h2q,2.208824462547102,80
mango_rmse,small,FFR,7,h4q,2.271116322701504,80
mango_rmse,small,FFR,7,h8q,2.2641602684626885,80
mango_rmse_random,small,FFR,7,h1q,2.157154652965678,80
mango_rmse_random,small,FFR,7,h2q,2.150553369580948,80
mango_rmse_random,small,FFR,7,h4q,2.22001724953993,80
mango_rmse_random,small,FFR,7,h8q,2.2229403820256035,80
paper,small,FFR,7,,2.072534985590781,80
mango_mdd,small,FFR,8,,2.350692731898393,80
mango_rmse,small,FFR,8,h1q,2.4125647710626903,80
mango_rmse,small,FFR,8,h2q,2.42492727474199,80
mango_rmse,small,FFR,8,h4q,2.486601393528714,80
mango_rmse,small,FFR,8,h8q,2.4580864105049205,80
mango_rmse_random,small,FFR,8,h1q,2.3452257043095828,80
mango_rmse_random,small,FFR,8,h2q,2.3343213797424442,80
mango_rmse_random,small,FFR,8,h4q,2.414330630224986,80
mango_rmse_random,small,FFR,8,h8q,2.418699013035364,80
paper,small,FFR,8,,2.258593618494752,80
mango_mdd,small,GDP,1,,22.95076565785719,80
mango_rmse,small,GDP,1,h1q,22.963697847246795,80
mango_rmse,small,GDP,1,h2q,22.961952681052583,80
mango_rmse,small,GDP,1,h4q,22.926176383325775,80
mango_rmse,small,GDP,1,h8q,22.981379619152893,80
mango_rmse_random,small,GDP,1,h1q,22.948453169871552,80
mango_rmse_random,small,GDP,1,h2q,22.922275727793128,80
mango_rmse_random,small,GDP,1,h4q,22.964984776038225,80
mango_rmse_random,small,GDP,1,h8q,22.96293221841443,80
paper,small,GDP,1,,22.925952777314663,80
mango_mdd,small,GDP,2,,22.642052825718533,80
mango_rmse,small,GDP,2,h1q,22.66201098297838,80
mango_rmse,small,GDP,2,h2q,22.676612644297354,80
mango_rmse,small,GDP,2,h4q,22.611490998496198,80
mango_rmse,small,GDP,2,h8q,22.715024311468124,80
mango_rmse_random,small,GDP,2,h1q,22.638056530764796,80
mango_rmse_random,small,GDP,2,h2q,22.593575987781655,80
mango_rmse_random,small,GDP,2,h4q,22.666317452892155,80
mango_rmse_random,small,GDP,2,h8q,22.66302389654222,80
paper,small,GDP,2,,22.602680242457392,80
mango_mdd,small,GDP,3,,22.36039953486598,80
mango_rmse,small,GDP,3,h1q,22.38278019044594,80
mango_rmse,small,GDP,3,h2q,22.42928035946068,80
mango_rmse,small,GDP,3,h4q,22.333502806540885,80
mango_rmse,small,GDP,3,h8q,22.46988798079648,80
mango_rmse_random,small,GDP,3,h1q,22.33562746194849,80
mango_rmse_random,small,GDP,3,h2q,22.290289883247702,80
mango_rmse_random,small,GDP,3,h4q,22.396822064401892,80
mango_rmse_random,small,GDP,3,h8q,22.391894734387247,80
paper,small,GDP,3,,22.28727744943264,80
mango_mdd,small,GDP,4,,22.050715751565487,80
mango_rmse,small,GDP,4,h1q,22.070628463436808,80
mango_rmse,small,GDP,4,h2q,22.149565730646458,80
mango_rmse,small,GDP,4,h4q,22.028263342837388,80
mango_rmse,small,GDP,4,h8q,22.197065175317007,80
mango_rmse_random,small,GDP,4,h1q,22.005567782297984,80
mango_rmse_random,small,GDP,4,h2q,21.963563138459744,80
mango_rmse_random,small,GDP,4,h4q,22.098975752443177,80
mango_rmse_random,small,GDP,4,h8q,22.092611199772918,80
paper,small,GDP,4,,21.951817568105472,80
mango_mdd,small,GDP,5,,21.795809815467212,80
mango_rmse,small,GDP,5,h1q,21.812491428016813,80
mango_rmse,small,GDP,5,h2q,21.914021666046178,80
mango_rmse,small,GDP,5,h4q,21.764422939801,80
mango_rmse,small,GDP,5,h8q,21.972988339370705,80
mango_rmse_random,small,GDP,5,h1q,21.721745690062196,80
mango_rmse_random,small,GDP,5,h2q,21.68108488229129,80
mango_rmse_random,small,GDP,5,h4q,21.864696556013065,80
mango_rmse_random,small,GDP,5,h8q,21.85574456526285,80
paper,small,GDP,5,,21.639286445006206,80
mango_mdd,small,GDP,6,,21.57290197335409,80
mango_rmse,small,GDP,6,h1q,21.58555073079195,80
mango_rmse,small,GDP,6,h2q,21.70824505812385,80
mango_rmse,small,GDP,6,h4q,21.537711793710326,80
mango_rmse,small,GDP,6,h8q,21.785986075637055,80
mango_rmse_random,small,GDP,6,h1q,21.454370070339383,80
mango_rmse_random,small,GDP,6,h2q,21.42382420938199,80
mango_rmse_random,small,GDP,6,h4q,21.673036711652998,80
mango_rmse_random,small,GDP,6,h8q,21.66240748150421,80
paper,small,GDP,6,,21.36199736991695,80
mango_mdd,small,GDP,7,,21.35327627435016,80
mango_rmse,small,GDP,7,h1q,21.35511091096323,80
mango_rmse,small,GDP,7,h2q,21.49666243141305,80
mango_rmse,small,GDP,7,h4q,21.30836098647957,80
mango_rmse,small,GDP,7,h8q,21.59547479707179,80
mango_rmse_random,small,GDP,7,h1q,21.190237609144972,80
mango_rmse_random,small,GDP,7,h2q,21.169617429490337,80
mango_rmse_random,small,GDP,7,h4q,21.490774241076664,80
mango_rmse_random,small,GDP,7,h8q,21.47988578943219,80
paper,small,GDP,7,,21.097341709334653,80
mango_mdd,small,GDP,8,,21.1802344908082,80
mango_rmse,small,GDP,8,h1q,21.16210447354044,80
mango_rmse,small,GDP,8,h2q,21.32488520281741,80
mango_rmse,small,GDP,8,h4q,21.114637537391197,80
mango_rmse,small,GDP,8,h8q,21.446534029200986,80
mango_rmse_random,small,GDP,8,h1q,20.984353522245044,80
mango_rmse_random,small,GDP,8,h2q,20.954127181583267,80
mango_rmse_random,small,GDP,8,h4q,21.350845605075765,80
mango_rmse_random,small,GDP,8,h8q,21.336824459681917,80
paper,small,GDP,8,,20.845072941552715,80
